;municipio_paciente;Total
570;DOBRADA;2
571;DOIS IRMAOS;3
572;DOIS IRMAOS DAS MISSOES;10
573;DOIS IRMAOS DO BURITI;2222
574;DOIS LAJEADOS;2
575;DOIS VIZINHOS;2
576;DOM ELISEU;1
577;DOM EXPEDITO LOPES;6
578;DOM FELICIANO;13
579;DOM INOCENCIO;63
580;DOM PEDRO;6
581;DORES DO TURVO;310
582;DOURADOS;3126322122136232
583;DUQUE DE CAXIAS;32223312221102212133232
584;EIRUNEPE;322313123
585;ELDORADO DO SUL;381222
586;ELDORADO DOS CARAJAS;2
587;ELESBAO VELOSO;6
588;EMAS;26
589;EMBU DAS ARTES;662666626666266262381
590;EMBU-GUACU;12
591;ENCRUZILHADA;1
592;ENCRUZILHADA DO SUL;66
593;ENGENHEIRO BELTRAO;1
594;ENGENHEIRO NAVARRO;3
595;ENTRE RIOS;3
596;ENVIRA;6
597;EPITACIOLANDIA;6
598;EQUADOR;6
599;ERECHIM;1
600;ESCADA;1622
601;ESMERALDAS;33313
602;ESPERANCA;25126
603;ESPERANTINA;266626
604;ESPIGAO ALTO DO IGUACU;2
605;ESPINOSA;3
606;ESPIRITO SANTO DO PINHAL;26
607;ESTANCIA;3
608;ESTANCIA VELHA;66
609;ESTEIO;10
610;ESTRELA DALVA;321
611;EUCLIDES DA CUNHA;3666
612;EUCLIDES DA CUNHA PAULISTA;2
613;EUNAPOLIS;1232123381
614;EUSEBIO;271
615;EXTREMA;366
616;EXTREMOZ;2262
617;EXU;13
618;FAGUNDES;6
619;FARO;13
620;FATIMA DO SUL;11
621;FAZENDA RIO GRANDE;26233
622;FEIJO;62326
623;FEIRA DE SANTANA;272738238721773812121223822338238137312138
624;FEIRA NOVA;263
625;FELISBURGO;638
626;FELIXLANDIA;38
627;FERRAZ DE VASCONCELOS;2616666
628;FERREIRA GOMES;12
629;FERROS;10
630;FIGUEIRA;3
631;FLEXEIRAS;6
632;FLORA RICA;2
633;FLORANIA;3
634;FLORES;3
635;FLORESTA;33
636;FLORESTA DO ARAGUAIA;1
637;FLORIANO;166
638;FLORIANOPOLIS;21383838382
639;FONTE BOA;1226321233213333223232323232232
640;FORMOSA;38
641;FORMOSA DO RIO PRETO;1
642;FORQUILHA;73838
643;FORQUILHINHA;2
644;FORTALEZA;12362621161166112621612211622663711666236622616222166211616611666222721131122222162662316662261222166663111662161662166626662387716666612771277138116737222623871716776612222666622662626662262622216626112662666666221366762661062266611121627166662266
645;FOZ DO IGUACU;632213221
646;FRANCA;666262
647;FRANCISCO BELTRAO;326
648;FRANCISCO MACEDO;2
649;FRANCISCO MORATO;266626666666
650;FRANCO DA ROCHA;66212666
651;FRECHEIRINHA;2
